"iata","name","city","subd","country","lat","lon","iso"
"CXT","Charters Towers Airport","","Queensland","Australia","-20.0431","146.27299","AU"
"DCN","RAAF Base Curtin","","Western Australia","Australia","-17.5814","123.828","AU"
"CKI","Croker Island Airport","","Northern Territory","Australia","-11.165","132.483","AU"
"CTN","Cooktown Airport","","Queensland","Australia","-15.4447","145.18401","AU"
"CMQ","Clermont Airport","","Queensland","Australia","-22.7731","147.621","AU"
"CMA","Cunnamulla Airport","","Queensland","Australia","-28.03","145.62199","AU"
"CML","Camooweal Airport","","Queensland","Australia","-19.9117","138.125","AU"
"NIF","Camp Nifty Airport","","Western Australia","Australia","-21.6717","121.587","AU"
"CES","Cessnock Airport","","New South Wales","Australia","-32.7875","151.342","AU"
"CNB","Coonamble Airport","","New South Wales","Australia","-30.9833","148.37601","AU"
"ODL","Cordillo Downs Airport","Cordillo Downs","South Australia","Australia","-26.7453","140.638","AU"
"CUQ","Coen Airport","","Queensland","Australia","-13.7608","143.114","AU"
"CIE","Collie Airport","","Western Australia","Australia","-33.3667","116.217","AU"
"OOM","Cooma Snowy Mountains Airport","Cooma","New South Wales","Australia","-36.3006","148.974","AU"
"CDA","Cooinda Airport","","Northern Territory","Australia","-12.9033","132.532","AU"
"CWW","Corowa Airport","","New South Wales","Australia","-35.9947","146.35699","AU"
"CYG","Corryong Airport","","Victoria","Australia","-36.1828","147.888","AU"
"CXQ","Christmas Creek Station Airport","","Western Australia","Australia","-18.8833","125.917","AU"
"CDQ","Croydon Airport","","Queensland","Australia","-18.225","142.258","AU"
"KCE","Collinsville Airport","","Queensland","Australia","-20.5967","147.86","AU"
"CMD","Cootamundra Airport","","New South Wales","Australia","-34.6239","148.028","AU"
"CUG","Cudal Airport","","New South Wales","Australia","-33.2783","148.763","AU"
"CUY","Cue Airport","","Western Australia","Australia","-27.4467","117.918","AU"
"CJF","Coondewanna Airport","","Western Australia","Australia","-22.96667","118.81333","AU"
"CWR","Cowarie Airport","","South Australia","Australia","-27.7117","138.328","AU"
"CCW","Cowell Airport","","South Australia","Australia","-33.6667","136.892","AU"
"CWT","Cowra Airport","","New South Wales","Australia","-33.8447","148.649","AU"
"COY","Coolawanyah Airport","","Western Australia","Australia","-21.7833","117.8","AU"
"DBY","Dalby Airport","","Queensland","Australia","-27.1553","151.267","AU"
"DRN","Dirranbandi Airport","","Queensland","Australia","-28.5917","148.217","AU"
"DNB","Dunbar Airport","","Queensland","Australia","-16.05","142.39999","AU"
"DRB","Derby Airport","","Western Australia","Australia","-17.37","123.661","AU"
"DFP","Drumduff Airport","Drumduff","Queensland","Australia","-16.053","143.01199","AU"
"DGD","Dalgaranga Gold Mine Airport","","Western Australia","Australia","-27.83028","117.31639","AU"
"DXD","Dixie Airport","New Dixie","Queensland","Australia","-15.11749","143.31605","AU"
"DKI","Dunk Island Airport","","Queensland","Australia","-17.9417","146.14","AU"
"DLK","Dulkaninna Airport","Dulkaninna","South Australia","Australia","-29.0133","138.481","AU"
"DNQ","Deniliquin Airport","","New South Wales","Australia","-35.5594","144.946","AU"
"DDN","Delta Downs Airport","","Queensland","Australia","-16.9917","141.317","AU"
"DLV","Delissaville Airport","","Northern Territory","Australia","-12.55","130.685","AU"
